1类置信率,2类置信率,3类置信率,预测分类,实际分类,预测正确
1.02E-08,1,6.72E-10,2,2,1
5.82E-09,1,7.65E-10,2,2,1
5.54E-08,1,1.15E-08,2,2,1
2.26E-10,1,3.87E-10,2,2,1
2.67E-09,1,1.91E-09,2,2,1
2.73E-09,1,2.59E-09,2,2,1
7.89E-12,1,3.30E-11,2,2,1
7.34E-11,1,6.64E-10,2,2,1
4.57E-08,1,1.20E-08,2,2,1
1.19E-09,1,6.37E-10,2,2,1
4.04E-09,1,8.43E-10,2,2,1
1.58E-09,1,1.14E-09,2,2,1
1.09E-08,1,3.55E-10,2,2,1
4.64E-11,1,1.43E-11,2,2,1
0.998818338,0.001179775,1.92E-06,1,1,1
0.991571546,0.008427493,9.03E-07,1,1,1
0.002414329,0.997584462,1.22E-06,2,2,1
1.78E-06,0.999998212,2.15E-08,2,2,1
1.40E-08,1,4.94E-09,2,2,1
3.04E-09,1,1.35E-09,2,2,1
5.76E-06,0.999994159,1.72E-07,2,2,1
8.27E-07,0.999999166,3.54E-08,2,2,1
2.60E-08,1,1.47E-09,2,2,1
2.42E-09,1,2.78E-10,2,2,1
3.13E-09,1,7.60E-10,2,2,1
2.43E-09,1,2.01E-10,2,2,1
4.29E-09,1,1.06E-10,2,2,1
6.22E-10,1,1.33E-10,2,2,1
6.47E-13,1,9.53E-12,2,2,1
1.31E-10,1,1.33E-10,2,2,1
3.52E-10,1,6.68E-11,2,2,1
1.12E-11,1,5.79E-12,2,2,1
9.51E-08,0.999999881,2.74E-08,2,2,1
9.84E-09,1,2.41E-09,2,2,1
1.22E-08,1,8.45E-10,2,2,1
3.99E-11,1,9.33E-12,2,2,1
1.75E-11,1,1.27E-10,2,2,1
2.19E-09,1,8.54E-10,2,2,1
1.76E-08,1,6.71E-09,2,2,1
7.12E-08,0.999999881,1.65E-08,2,2,1
1.64E-08,1,1.49E-08,2,2,1
2.12E-08,1,2.63E-09,2,2,1
1.33E-11,1,1.39E-11,2,2,1
8.77E-11,1,3.09E-10,2,2,1
9.45E-11,1,5.48E-10,2,2,1
2.75E-09,1,1.39E-09,2,2,1
1.68E-10,1,3.45E-11,2,2,1
3.71E-11,1,1.83E-11,2,2,1
7.41E-11,1,5.84E-10,2,2,1
2.66E-07,0.999999762,1.71E-09,2,2,1
0.954633594,0.045363083,3.34E-06,1,1,1
0.999999166,8.01E-07,4.23E-09,1,1,1
0.998214483,0.001784772,7.34E-07,1,1,1
0.613545239,0.386435479,1.93E-05,1,1,1
0.006059077,0.993940234,7.26E-07,2,2,1
1.33E-07,0.999999881,1.53E-09,2,2,1
1.48E-08,1,5.21E-10,2,2,1
4.00E-10,1,1.68E-10,2,2,1
1.65E-08,1,1.29E-08,2,2,1
5.67E-09,1,2.34E-09,2,2,1
2.51E-10,1,3.49E-10,2,2,1
1.32E-10,1,6.33E-11,2,2,1
1.07E-09,1,7.59E-10,2,2,1
2.52E-09,1,6.83E-10,2,2,1
5.74E-11,1,4.12E-12,2,2,1
7.81E-11,1,6.43E-11,2,2,1
3.98E-11,1,1.55E-10,2,2,1
6.02E-11,1,2.66E-10,2,2,1
4.94E-09,1,6.29E-10,2,2,1
4.05E-11,1,1.76E-10,2,2,1
1.15E-08,1,7.14E-09,2,2,1
2.23E-07,0.999999642,8.56E-08,2,2,1
4.61E-09,1,6.21E-10,2,2,1
3.31E-10,1,1.92E-10,2,2,1
2.17E-10,1,2.95E-11,2,2,1
1.87E-08,1,9.90E-09,2,2,1
5.17E-09,1,7.02E-10,2,2,1
3.55E-10,1,3.27E-10,2,2,1
