1,1.28E-12,9.60E-10,1
0.999993086,4.54E-08,6.95E-06,1
1,1.91E-12,3.08E-10,1
1,1.07E-13,2.31E-12,1
1,1.50E-11,3.60E-10,1
1,2.84E-13,4.29E-11,1
1,2.73E-16,1.75E-13,1
1,9.31E-14,2.12E-11,1
1,9.93E-13,1.23E-11,1
1,1.59E-15,2.22E-13,1
1,1.81E-12,5.82E-10,1
1,2.12E-13,1.79E-11,1
1,7.05E-13,1.47E-11,1
1,5.28E-13,1.94E-10,1
1,2.54E-13,8.44E-12,1
1,3.27E-13,8.72E-11,1
1,2.70E-13,2.01E-12,1
1,1.35E-13,1.44E-11,1
1,1.21E-15,1.99E-12,1
1,1.49E-11,5.03E-11,1
1,2.08E-13,6.45E-13,1
1,2.87E-13,2.90E-11,1
1,6.81E-11,2.26E-09,1
1,4.64E-14,7.03E-12,1
1,3.18E-12,5.49E-10,1
1,6.07E-12,8.73E-12,1
1,7.94E-13,1.93E-11,1
1,3.20E-13,1.77E-11,1
1,1.02E-14,4.90E-12,1
1,7.55E-13,4.74E-11,1
1,1.54E-13,3.08E-10,1
1,5.91E-14,1.60E-11,1
1,3.91E-11,3.33E-08,1
1,1.02E-12,1.62E-10,1
1,9.77E-13,9.41E-11,1
1,3.18E-13,2.71E-11,1
1,1.41E-15,1.68E-13,1
1,3.54E-13,2.38E-11,1
1,1.11E-13,5.69E-12,1
1,1.62E-13,1.75E-12,1
1,9.10E-14,5.48E-12,1
1,7.74E-14,1.17E-11,1
1,7.31E-14,2.10E-11,1
1,2.79E-14,9.08E-12,1
1,6.83E-13,4.60E-11,1
1,3.67E-13,9.48E-11,1
1,4.52E-14,6.87E-13,1
1,3.72E-12,3.21E-09,1
1,1.04E-12,3.87E-10,1
1,1.03E-13,2.43E-11,1
1,4.81E-14,2.23E-11,1
1,1.10E-12,6.81E-11,1
1,1.76E-13,4.58E-12,1
1,6.59E-13,2.90E-10,1
1,1.03E-14,1.30E-12,1
1,2.08E-13,8.46E-11,1
1,1.68E-12,1.12E-09,1
1,7.92E-14,2.39E-12,1
1,1.42E-11,5.09E-09,1
1,2.12E-12,2.81E-11,1
1,1.95E-13,2.34E-12,1
1,2.12E-13,2.06E-10,1
1,6.21E-13,3.98E-12,1
1,1.08E-16,3.91E-13,1
1,3.52E-14,4.62E-12,1
1,2.32E-12,2.27E-11,1
1,2.06E-11,1.76E-09,1
1,6.83E-12,5.53E-11,1
1,7.38E-13,2.39E-12,1
1,1.86E-14,1.54E-12,1
1,1.53E-13,1.15E-11,1
1,2.39E-13,8.45E-11,1
1,1.18E-13,1.15E-11,1
1,5.43E-13,5.32E-12,1
1,2.83E-14,3.40E-12,1
1,6.98E-14,1.41E-12,1
1,1.34E-13,8.46E-13,1
1,4.59E-12,3.52E-10,1
1,3.10E-13,1.87E-11,1
1,5.50E-16,1.10E-13,1
1,2.71E-12,1.66E-09,1
1,4.85E-14,1.26E-12,1
1,1.22E-13,2.01E-11,1
1,1.39E-13,1.08E-12,1
1,5.91E-13,3.38E-10,1
1,5.32E-13,4.93E-11,1
1,1.23E-13,8.56E-12,1
1,1.96E-13,2.89E-12,1
1,2.95E-14,5.24E-12,1
1,4.22E-16,3.93E-14,1
1,2.51E-14,5.43E-12,1
1,1.52E-13,1.32E-11,1
1,1.16E-14,3.56E-13,1
1,1.97E-14,1.39E-11,1
1,1.26E-11,1.37E-09,1
1,4.53E-13,3.21E-10,1
1,5.48E-15,1.83E-13,1
1,9.33E-13,1.48E-10,1
1,2.06E-13,8.63E-12,1
1,7.26E-13,1.53E-11,1
1,1.16E-14,2.47E-13,1
1,3.49E-14,8.82E-13,1
1,1.59E-13,2.04E-10,1
1,5.33E-14,1.36E-11,1
1,8.29E-12,1.64E-10,1
1,2.59E-14,2.58E-12,1
1,1.31E-14,2.08E-12,1
1,2.38E-14,2.31E-13,1
1,1.80E-12,1.78E-11,1
1,5.63E-13,6.42E-12,1
1,2.05E-11,1.70E-08,1
1,7.39E-15,2.52E-12,1
1,3.91E-13,3.34E-11,1
1,8.65E-12,1.37E-09,1
1,1.19E-12,4.56E-12,1
1,4.11E-12,3.51E-11,1
1,4.40E-11,8.65E-10,1
1,1.56E-13,2.29E-11,1
1,2.04E-13,1.43E-11,1
1,1.02E-13,8.77E-13,1
1,2.16E-12,6.13E-11,1
1,6.06E-14,8.33E-12,1
1,1.64E-14,9.97E-12,1
1,2.06E-14,1.17E-11,1
1,1.12E-13,2.18E-12,1
1,1.75E-13,1.68E-11,1
1,8.21E-13,1.59E-10,1
1,3.84E-13,9.81E-12,1
1,1.53E-15,1.02E-12,1
1,3.76E-13,2.16E-12,1
1,1.20E-13,1.90E-12,1
1,2.60E-12,2.69E-09,1
1,2.79E-13,2.84E-12,1
1,9.84E-14,5.49E-13,1
1,9.51E-14,4.81E-11,1
1,1.07E-13,1.56E-12,1
1,4.60E-13,8.46E-11,1
1,1.75E-14,3.34E-12,1
1,1.25E-12,5.21E-10,1
1,2.00E-13,7.45E-11,1
1,8.71E-13,1.21E-10,1
1,1.03E-13,1.17E-12,1
1,1.21E-13,3.74E-12,1
1,8.37E-14,6.82E-12,1
1,1.32E-12,2.90E-11,1
1,1.70E-11,2.12E-09,1
1,7.51E-15,2.25E-12,1
1,4.66E-13,5.00E-12,1
1,5.87E-15,9.49E-13,1
1,8.41E-13,1.09E-11,1
1,1.64E-15,2.24E-13,1
1,6.76E-15,5.66E-12,1
1,9.00E-13,6.63E-11,1
1,6.28E-11,2.73E-10,1
1,1.44E-12,4.17E-11,1
1,3.34E-14,2.60E-12,1
1,1.64E-14,2.73E-13,1
1,1.20E-13,4.31E-11,1
1,1.61E-13,7.53E-11,1
