-31.375803,-66.46323
-14.784755,-82.13829
-28.267303,-34.490997
-37.939842,-15.175245
-55.280193,-40.220684
-42.92116,-55.59088
-26.132004,-59.934788
-26.74631,-59.99462
-66.19498,-51.801037
-60.655155,-26.038813
-6.242165,-67.495995
-45.084293,-49.78037
-68.46714,-57.369953
-30.427357,-37.11782
-50.786087,-42.296688
-27.208965,-79.04486
-73.399414,-58.70871
-19.34478,-43.94061
-26.953234,-60.17546
-74.585526,-52.345226
-65.990944,-0.3846403
-41.09095,-16.00406
-3.2971473,-73.47225
-38.902115,-25.448933
-47.905743,-56.060947
-75.40866,-58.531128
-56.27354,-20.178333
-41.743725,-16.213795
-8.893686,-58.827034
-3.4548795,-73.344986
-39.140717,-60.359795
-41.315067,-53.83405
-14.685942,-80.49356
-43.68144,-16.321093
-14.560741,-74.576195
-40.31163,-15.774202
-44.017677,-51.92781
-38.79657,-25.414768
-44.401443,-17.300299
-70.02712,-51.378124
-47.49087,-44.0882
-16.919556,-59.139336
-16.699957,-59.202614
-17.239323,-59.85382
-33.087463,-33.737755
-3.1465807,-64.78021
-39.255135,-8.538063
-4.8858743,-72.78906
-4.262346,-72.95529
-30.486858,-37.206158
-42.6206,-27.994282
-38.946663,-26.369984
-64.3142,-53.09222
-42.580303,-55.673553
-27.138767,-59.930763
-33.21209,-57.34355
-25.324165,-58.699036
-43.45876,-9.420273
-5.364865,-73.7855
-51.597572,8.272857
-49.243084,6.696718
-23.250006,-44.90467
-43.869984,0.7128695
-28.720388,-71.085526
-38.560303,-25.351671
-49.424038,7.0432673
-14.716716,-80.649315
-49.54763,2.093171
-75.34641,-58.35246
-58.856888,-49.875126
-40.70021,-15.889283
-43.464115,-54.474663
-38.72096,-24.526264
-73.48603,-51.09204
-40.867195,-61.48529
-22.508688,-80.65509
-46.537746,9.8263235
-50.758175,-18.511303
-49.738903,2.4628153
-43.918274,-52.107716
-14.808706,-81.90583
-48.03681,3.5582228
-40.13535,-60.620026
-47.14321,-7.964988
-4.6471667,-72.97044
-42.357285,-27.03227
-48.895382,-45.338
-49.182945,-19.902012
-30.969446,-33.58583
-46.52219,-48.779095
-31.530935,-66.521965
-45.105022,-30.337934
-44.335815,-15.5565
-15.3094635,-82.07556
-31.528675,-34.542606
-22.72148,-46.124195
-57.127647,-19.640652
-4.6311026,-71.84123
-49.27942,-20.40567
-43.41784,-9.810659
-47.38258,4.1718655
-57.77257,-16.255169
-40.846703,-54.21144
-31.134802,-59.342552
-53.18341,3.150272
-33.776276,-25.011982
-38.11344,-25.635778
-65.078316,-0.46434754
-58.728283,-15.244006
-58.426598,-9.1762085
-4.7476983,-73.43937
-30.715712,-36.57622
-43.417835,-19.763796
-37.633244,-25.846283
-74.188835,-48.42597
-54.54442,4.724878
-30.556566,-33.567642
-38.724922,-25.631413
-43.91864,-17.279806
-39.92483,-4.8285465
-65.68105,-53.090137
-31.1175,-35.841465
-20.488913,-47.028522
-32.922462,-42.461845
-58.38556,-7.729593
-33.83238,-24.45502
-34.884003,-33.0286
-39.7277,-9.297978
-38.342808,-24.399351
-46.567272,9.24587
-40.82153,-9.937201
-5.250696,-73.91999
-39.61807,-9.034045
-46.07976,19.09746
-11.604618,-55.94558
-58.445656,-9.129051
-24.469633,-65.65009
-11.03905,-56.322105
-4.9348435,-72.42714
-4.5625076,-72.59564
-52.580097,-13.270171
-39.513325,-3.909939
-40.240013,-13.329977
-46.383633,-35.87878
-57.131256,-11.69174
-44.57158,-19.366465
-51.489357,-56.743305
-40.873035,-9.574204
-40.429432,-15.766183
-56.195385,-21.219437
-31.214012,-36.053776
-38.04206,-25.690935
-39.18684,-26.403679
-46.26066,-6.5173635
-53.045124,-13.639031
-54.203674,-43.808064
-46.82308,-8.091853
-21.506474,-46.61743
-18.621248,-47.429955
-52.522366,-54.989853
-23.631529,-46.263348
-82.37368,-7.2255254
-58.5968,-17.211668
-43.202938,-20.274178
-49.0537,-20.835735
-33.377384,-24.461935
-31.354427,-32.729935
-66.71109,-0.20630786
-41.40761,-26.034828
-57.70545,-15.791688
-58.939396,-16.495247
-3.2909412,-72.29041
-17.921124,-48.81754
-52.675587,-14.035844
-49.026638,-21.017164
-48.99785,-5.0225444
-40.76939,-3.9822392
-55.3144,-19.140554
-9.095754,-59.051414
-39.160835,-60.344288
-42.33911,-11.487018
-48.86999,-20.709581
-2.0790663,-71.90387
-17.12962,-66.231705
-64.66879,-0.51384884
-56.837143,-19.879185
-40.708313,-61.280388
-17.99803,-82.96642
-51.10134,-20.365038
-42.180595,12.955709
-46.663258,8.053169
-30.565262,-32.15941
-7.3618264,-68.04796
-41.60735,-56.81438
-43.549164,-9.31221
-44.48129,-53.22098
-67.277084,-0.072895385
-47.71776,-21.786049
-47.35784,8.475845
-39.086346,-20.081985
-53.295063,-18.843739
-43.2125,10.591569
-57.99623,-16.138857
-22.07658,-36.303543
-30.134201,-43.603
-61.7289,-22.997131
-67.001,-0.3706197
-53.64848,-16.754486
-5.063513,-73.875206
-1.884901,-64.6952
-39.49166,-4.9073863
-62.01586,-25.377932
-26.366337,-43.941273
-17.153278,-49.118687
-17.44707,-49.17193
-59.11215,-16.240955
-44.317604,20.009756
-10.312653,-55.8027
-32.41573,-31.768555
-6.675555,-59.133263
-44.05942,-6.069159
-34.992043,-34.98298
-44.334026,-9.54584
-47.542454,8.658385
-34.596146,-24.148113
-47.496544,-42.765514
-67.09523,0.02558026
-44.462334,-9.553109
-9.903607,-54.886726
-39.69231,-19.073067
-37.65676,-27.950695
-1.870335,-63.5678
-42.084663,-5.146456
-37.12491,-35.7133
-59.505276,-14.575587
-2.31402,-62.626057
-34.480206,-37.765083
-44.282974,19.961653
-42.164837,12.711874
-64.11851,-0.7021565
-24.463148,-32.46651
-52.068768,3.5044525
-74.36348,-15.106929
-66.70282,-0.05780788
-60.381874,-17.38712
-44.284035,20.106237
-39.577282,-4.6124773
-1.8706284,-64.25345
-47.278065,-47.812107
-31.497145,-61.113644
-57.36922,35.356434
-45.214863,12.0238495
-36.821945,-13.27423
-44.893406,10.215919
-82.74931,-51.636883
-38.102654,29.006872
-64.00255,-0.9314162
-47.128483,-59.598255
-49.215595,11.381489
-43.706295,-0.40631297
-14.765863,-80.6135
-15.8478775,-81.7168
-31.228342,-43.373566
-10.540937,-53.66979
-33.50853,-66.07968
-16.503576,-81.018585
-16.045452,-81.60358
-48.79789,-21.33261
-7.612953,-58.407997
-46.797047,-47.079826
-38.856007,-26.048199
-3.8410685,-60.645752
-34.649227,-65.86114
-41.999443,-60.850418
