0.00018359659588895738,4.972617534804158e-05,0.9997666478157043,3,0
1.5738512956886552e-05,6.554162973770872e-05,0.9999186992645264,3,0
1.690252247499302e-06,2.565005615906557e-06,0.9999957084655762,3,0
2.143057827197481e-06,5.501512987393653e-07,0.9999972581863403,3,0
2.626327211263657e-10,8.424371755744176e-10,1,3,0
1.3867179626814163e-09,4.113998919308415e-09,1,3,0
1.2710454939224292e-05,3.623533075369778e-06,0.9999836683273315,3,0
8.302365131385159e-06,3.115414074272849e-05,0.9999605417251587,3,0
6.931917369001894e-07,2.2487671458293335e-07,0.9999990463256836,3,0
5.670955488312757e-06,5.238744620328362e-07,0.9999938011169434,3,0
0.000165732140885666,0.0002656066499184817,0.9995686411857605,3,0
4.5180850065662526e-06,2.851069439202547e-06,0.9999926090240479,3,0
5.193001584302692e-08,3.266556802827836e-08,0.9999998807907104,3,0
4.030666502785607e-07,3.744589207599347e-07,0.9999991655349731,3,0
5.592399787701652e-08,8.037373078195742e-08,0.9999998807907104,3,0
1.0964316061290447e-05,1.0477539944986347e-05,0.9999785423278809,3,0
1.746495996712838e-07,8.005211782347033e-08,0.9999997615814209,3,0
5.3087864216649905e-05,3.6665274819824845e-05,0.9999102354049683,3,0
2.733907649599132e-06,7.335885584325297e-06,0.9999899864196777,3,0
5.605490969173843e-06,1.5566791944365832e-06,0.999992847442627,3,0
9.315284899003018e-08,2.0709233439220043e-08,0.9999998807907104,3,0
1.4770246252737707e-06,4.4391143205757544e-07,0.9999980926513672,3,0
9.834483535087202e-06,8.755287126405165e-07,0.9999892711639404,3,0
1.0606354017284048e-08,1.3361149520108029e-08,1,3,0
7.104069368324417e-07,3.246369146836514e-07,0.999998927116394,3,0
5.8480432016949635e-06,1.0940873380604899e-06,0.999993085861206,3,0
1.485879511164967e-05,1.0834557542693801e-05,0.999974250793457,3,0
3.016574510184e-07,1.938980886961872e-07,0.9999995231628418,3,0
5.912125971008209e-07,3.0334496159412083e-07,0.9999990463256836,3,0
1.2156927908790749e-08,1.8642232646470802e-08,1,3,0
3.8672001778650156e-07,5.512925440598337e-07,0.9999990463256836,3,0
