2.121057062007124e-08,3.3030947089679546e-06,2.1134377581333297e-10
2.121051107195188e-08,3.3025395374611627e-06,2.1859250260575287e-10
8.255920111030552e-09,3.302663514647777e-06,1.7160266237506445e-09
2.6680590485924472e-09,1.0151079304311205e-07,1.7160266237506445e-09
4.384476547424266e-12,9.949111556902405e-08,1.7160266237506445e-09
4.528426089802494e-12,9.959421766942842e-08,1.4974341211448947e-09
4.5239717770476246e-12,9.947408162732943e-08,3.132031806938898e-24
4.523961869014451e-12,5.220464594049025e-06,2.0897857812894574e-23
6.027222507520326e-13,5.220153331857331e-06,2.0897857812894574e-23
4.834450780660228e-13,5.220161503216075e-06,2.89017225723782e-14
3.5440318579632973e-10,5.220052542516869e-06,2.89017225723782e-14
3.544027652103643e-10,2.838533925711776e-10,1.2990427981722623e-09
3.545185516797876e-10,1.394177567097774e-07,7.599298566236244e-08
1.0389404509013028e-07,1.5157042765553297e-07,7.599298566236244e-08
1.0354012603361e-07,1.5157175405368035e-07,7.599295676063988e-08
1.0492489230127106e-07,3.873173434506769e-07,7.469394286419018e-08
1.0492431967083094e-07,2.4805443968866427e-07,1.3274724249176588e-11
3.755346766244903e-08,2.4872586949595873e-07,1.3274724249176588e-11
9.852114610337453e-08,2.4872722020780027e-07,1.3274724323304153e-11
9.71364162185419e-08,1.2852704276529997e-08,4.1029581519750533e-08
1.0556815859567842e-07,1.285266494981813e-08,4.1016306795501355e-08
1.0556815875919079e-07,1.9248452776451406e-11,4.0238061417196837e-07
8.431864673028409e-09,5.305207432572225e-12,4.239562692382663e-07
8.942591096644244e-06,4.728090970896114e-06,4.010479664280013e-07
8.942591096425645e-06,4.728094158471166e-06,4.0104814251233443e-07
8.934159360488118e-06,4.728118291854735e-06,3.9683840148668545e-08
8.934202879671838e-06,4.728121932412026e-06,1.81081850822965e-08
8.934202879703285e-06,6.634453190637269e-07,1.8242862624590371e-13
4.361156074416191e-11,6.634423375877077e-07,6.344552737276308e-15
6.502856744994638e-11,8.716160623720881e-07,6.344552737276308e-15
2.1511312746602978e-11,8.716242412551147e-07,3.9706426983611863e-10
2.1511419720159917e-11,2.0829484127502684e-07,4.2290667964859076e-10
2.1510910891684448e-11,2.1037884929005194e-07,4.229066793889338e-10
1.1048602630115154e-08,2.1043135366765164e-07,7.045382866445479e-10
