2.12E-08,3.30E-06,2.11E-10
2.12E-08,3.30E-06,2.19E-10
8.26E-09,3.30E-06,1.72E-09
2.67E-09,1.02E-07,1.72E-09
4.38E-12,9.95E-08,1.72E-09
4.53E-12,9.96E-08,1.50E-09
4.52E-12,9.95E-08,3.13E-24
4.52E-12,5.22E-06,2.09E-23
6.03E-13,5.22E-06,2.09E-23
4.83E-13,5.22E-06,2.89E-14
3.54E-10,5.22E-06,2.89E-14
3.54E-10,2.84E-10,1.30E-09
3.55E-10,1.39E-07,7.60E-08
1.04E-07,1.52E-07,7.60E-08
1.04E-07,1.52E-07,7.60E-08
1.05E-07,3.87E-07,7.47E-08
1.05E-07,2.48E-07,1.33E-11
3.76E-08,2.49E-07,1.33E-11
9.85E-08,2.49E-07,1.33E-11
9.71E-08,1.29E-08,4.10E-08
1.06E-07,1.29E-08,4.10E-08
1.06E-07,1.92E-11,4.02E-07
8.43E-09,5.31E-12,4.24E-07
8.94E-06,4.73E-06,4.01E-07
8.94E-06,4.73E-06,4.01E-07
8.93E-06,4.73E-06,3.97E-08
8.93E-06,4.73E-06,1.81E-08
8.93E-06,6.63E-07,1.82E-13
4.36E-11,6.63E-07,6.34E-15
6.50E-11,8.72E-07,6.34E-15
2.15E-11,8.72E-07,3.97E-10
2.15E-11,2.08E-07,4.23E-10
2.15E-11,2.10E-07,4.23E-10
1.10E-08,2.10E-07,7.05E-10
1.10E-08,2.24E-09,3.07E-10
1.10E-08,2.45E-09,2.82E-10
1.58E-08,7.36E-09,5.80E-10
1.59E-08,5.24E-09,2.99E-10
4.86E-09,5.25E-09,2.99E-10
1.37E-07,5.25E-09,3.96E-10
1.32E-07,2.94E-09,9.68E-11
1.32E-07,3.21E-09,9.68E-11
1.32E-07,3.18E-09,9.68E-11
1.20E-06,3.19E-09,3.78E-18
1.07E-06,3.13E-10,3.03E-07
1.07E-06,6.65E-06,3.03E-07
1.09E-06,6.74E-06,3.03E-07
2.92E-06,6.74E-06,3.03E-07
2.49E-06,6.74E-06,2.51E-12
1.95E-06,9.62E-08,2.51E-12
1.93E-06,9.46E-08,2.51E-12
2.04E-06,3.26E-09,7.45E-08
2.04E-06,3.15E-09,7.45E-08
2.14E-07,2.84E-09,7.45E-08
2.14E-07,4.02E-06,7.45E-08
2.40E-07,4.03E-06,7.45E-08
3.32E-08,4.03E-06,4.27E-07
3.32E-08,4.03E-06,3.52E-07
3.32E-08,5.39E-09,3.52E-07
6.59E-09,3.66E-11,3.52E-07
1.26E-13,1.94E-10,3.52E-07
2.59E-12,1.95E-10,1.64E-18
2.74E-12,1.59E-10,1.64E-18
3.03E-12,1.66E-09,7.49E-15
2.99E-07,1.50E-09,7.49E-15
2.99E-07,1.50E-09,1.24E-11
2.99E-07,1.50E-09,3.30E-06
2.99E-07,1.72E-06,3.30E-06
2.99E-07,1.72E-06,3.30E-06
5.87E-10,1.72E-06,3.30E-06
5.99E-10,1.74E-06,2.25E-10
5.99E-10,1.74E-06,2.25E-10
1.51E-10,2.28E-08,2.23E-10
1.17E-11,2.28E-08,2.24E-10
1.17E-11,1.53E-10,9.50E-14
5.88E-16,6.24E-06,1.84E-08
6.58E-14,6.24E-06,1.84E-08
6.31E-11,6.24E-06,1.84E-08
6.31E-11,6.24E-06,1.84E-08
2.22E-09,1.20E-10,1.45E-11
3.01E-08,1.38E-10,1.44E-11
3.00E-08,1.82E-10,1.44E-11
3.07E-08,1.44E-07,1.44E-11
7.25E-05,2.37E-07,1.44E-11
7.33E-05,2.61E-07,1.24E-15
7.57E-05,2.62E-07,1.24E-15
7.57E-05,2.93E-07,4.57E-11
7.57E-05,1.54E-07,4.58E-11
5.53E-05,6.42E-08,4.58E-11
1.23E-10,3.78E-08,4.58E-11
1.22E-15,6.32E-09,4.22E-07
1.31E-15,4.02E-12,4.22E-07
1.17E-07,1.09E-07,4.22E-07
1.17E-07,1.09E-07,4.22E-07
1.17E-07,1.09E-07,1.33E-10
1.17E-07,1.09E-07,1.35E-10
1.17E-07,1.94E-12,1.34E-10
1.17E-07,1.89E-12,3.75E-11
1.54E-07,1.44E-07,1.53E-06
3.71E-08,1.44E-07,2.49E-06
3.71E-08,1.44E-07,2.49E-06
3.71E-08,1.44E-07,2.49E-06
2.18E-12,1.44E-07,1.17E-06
8.55E-14,1.88E-11,1.17E-06
8.01E-13,2.11E-11,2.17E-07
8.01E-13,1.16E-11,2.17E-07
2.51E-09,5.41E-12,3.84E-10
2.51E-09,4.07E-12,3.84E-10
2.51E-09,1.60E-12,3.84E-10
2.54E-05,1.03E-12,1.63E-06
2.54E-05,7.07E-12,1.63E-06
2.54E-05,1.25E-09,1.63E-06
2.54E-05,2.60E-08,1.63E-06
1.09E-11,2.61E-08,1.63E-06
9.21E-12,2.61E-08,1.63E-06
1.00E-12,2.49E-08,0
1.00E-12,2.18E-08,0
5.68E-13,3.93E-08,0
1.12E-14,3.93E-08,2.52E-10
2.71E-14,3.93E-08,2.52E-10
1.64E-12,3.93E-08,3.44E-06
9.00E-12,1.14E-07,3.44E-06
